::ffff:192.168.0.101 - - [24/Sep/2023:20:24:03 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:04 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:06 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:07 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:07 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:08 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:43 +0000] "GET /api/user/get-follows HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:43 +0000] "GET /api/user/token-valid HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:43 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:43 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:43 +0000] "GET /api/user/get-user HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:24:46 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:10 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:11 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:11 +0000] "GET /api/user/get-user HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:11 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:13 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:13 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:39 +0000] "GET /api/user/get-follows HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:46 +0000] "GET /api/user/get-follows HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:54 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "okhttp/4.9.2"
